STATION,STATION_NAME,DATE,TAVG
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131012,66
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131013,61
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131014,56
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131015,58
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131016,59
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131017,64
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131018,64
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131019,58
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131020,59
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131021,57
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131022,60
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131023,52
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131024,48
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131025,46
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131026,47
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131027,52
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131028,50
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131029,51
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131030,52
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131031,59
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131101,64
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131102,60
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131103,52
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131104,40
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131105,45
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131106,52
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131107,58
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131108,46
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131109,44
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131110,51
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131111,49
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131112,44
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131113,34
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131114,41
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131115,45
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131116,49
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131117,53
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131118,59
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131119,49
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131120,38
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131121,40
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131122,52
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131123,48
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131124,30
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131125,28
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131126,36
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131127,50
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131128,35
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131129,35
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131130,32
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131201,42
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131202,44
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131203,44
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131204,44
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131205,51
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131206,51
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131207,39
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131208,32
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131209,36
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131210,36
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131211,30
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131212,27
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131213,28
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131214,29
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131215,38
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131216,32
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131217,28
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131218,30
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131219,36
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131220,43
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131221,47
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131222,53
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131223,54
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131224,40
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131225,26
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131226,32
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131227,36
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131228,41
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131229,44
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131230,41
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20131231,27
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140101,29
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140102,30
